Designator,Footprint,Quantity,Value,LCSC Part #
J1,FH34SRJ8S05SH50,1,Conn_01x07,
Q2,PT12-21B,1,PT12-21B,C264383
Q5,PT12-21B,1,PT12-21B,C264383
D3,IR12-21C,1,IR12-21C,C53672
D1,IR12-21C,1,IR12-21C,C53672
Q4,PT12-21B,1,PT12-21B,C264383
D4,IR12-21C,1,IR12-21C,C53672
Q3,PT12-21B,1,PT12-21B,C264383
Q1,PT12-21B,1,PT12-21B,C264383
D5,IR12-21C,1,IR12-21C,C53672
D2,IR12-21C,1,IR12-21C,C53672
R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,270,
R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,270,
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,270,
R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,270,
R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,270,
