Designator,Footprint,Quantity,Value,LCSC Part #,,
C4,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,.1uF,C28233,CL21B104KCFNNNE,
J1,JST_ZH_B7B-ZR_1x07_P1.50mm_Vertical,1,Conn_01x07,C157978,,
J3,JST_ZH_B7B-ZR_1x07_P1.50mm_Vertical,1,Conn_01x07,C157978,,
J4,JST_ZH_B7B-ZR_1x07_P1.50mm_Vertical,1,Conn_01x07,C157978,,
J5,JST_ZH_B7B-ZR_1x07_P1.50mm_Vertical,1,Conn_01x07,C157978,,
J2,JST_ZH_B7B-ZR_1x07_P1.50mm_Vertical,1,Conn_01x07,C157978,,
J8,JST_ZH_B7B-ZR_1x07_P1.50mm_Vertical,1,Conn_01x07,C157978,,
D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LED,C2297,,
J6,PJ320-D,1,PJ320-D,C521460,?,Replace with SMD
H1,MountingHole_3.2mm_M3_DIN965_Pad,1,MountingHole_Pad,,,
H2,MountingHole_3.2mm_M3_DIN965_Pad,1,MountingHole_Pad,,,
U1,ProMicro_v3.5,1,ProMicro,C2874015,,
R11,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1.5k,C4310,,
R12,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1.5k,C4310,,
R13,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1.5k,C4310,,
R5,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,2k,C17604,,
R4,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,390k,C17656,0805W8F3903T5E,
R10,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1.5k,C4310,,
R14,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1.5k,C4310,,
R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,100k,C149504,0805W8F1003T5E,
R8,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,2k,C17604,,
R7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,2k,C17604,,
R9,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,2k,C17604,,
R6,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,2k,C17604,,
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,5k,C352178,,
Q4,SOT-23_Handsoldering,1,Q_NPN_BEC,C23869,,
Q5,SOT-23_Handsoldering,1,Q_NPN_BEC,C23869,,
Q1,SOT-23_Handsoldering,1,Q_NPN_BEC,C23869,,
Q3,SOT-23_Handsoldering,1,Q_NPN_BEC,C23869,,
Q2,SOT-23_Handsoldering,1,Q_NPN_BEC,C23869,,
SW2,SW_PUSH_6mm_H5mm,1,Boot,C428628,,
SW1,SW_PUSH_6mm_H5mm,1,Reset,C428628,,
U5,TSSOP-14_4.4x5mm_P0.65mm,1,LMV324,C398929,,
U6,TSSOP-14_4.4x5mm_P0.65mm,1,LMV324,C398929,,
