Designator,Mid X,Mid Y,Rotation,Layer
Q6,32.4622,49.713,0.0,top
J1,30.6,45.7,0.0,top
J3,30.6,36.1,0.0,top
J4,30.6,31.3,0.0,top
R11,24.0,42.4,90.0,top
R12,23.9,36.9,90.0,top
J5,30.6,26.5,0.0,top
SW1,2.7122,27.963,0.0,top
C4,11.9622,25.213,90.0,top
J2,30.6,40.9,0.0,top
R13,23.9,32.1,90.0,top
Q4,26.8,31.6,90.0,top
Q5,26.8,26.0,90.0,top
Q1,26.8,48.4,90.0,top
Q3,26.8,37.2,90.0,top
R5,38.4,9.2,180.0,top
U5,36.6,14.9,90.0,top
U6,29.95,19.1,90.0,top
R4,25.6,17.2,-90.0,top
R10,24.0,47.9,90.0,top
SW2,2.7122,18.963,0.0,top
Q2,26.8,42.8,90.0,top
R14,23.9,28.2,90.0,top
R3,25.6,20.9,-90.0,top
R8,34.7,20.6,0.0,top
R7,38.4,20.6,180.0,top
R9,26.725,13.3,180.0,top
J8,31.1,3.4,90.0,top
R6,35.3,8.375,90.0,top
U1,10.6,46.775,0.0,top
D1,21.4622,62.213,90.0,top
J6,28.4622,59.713,-90.0,top
R1,21.4622,58.213,-90.0,top
